salad_title,prep_time,n_star,n_review,Calories,Total Fat,Saturated Fat,Carbohydrates,Dietary Fiber,Sugar,Protein,Cholesterol,Sodium
Buffalo Chicken Salad,46 minutes,5 of 5 stars,140 Reviews,['10 grams '],['3 grams '],['74 milligrams '],['471 milligrams '],['10 grams '],['4 grams '],['31 grams '],['5 grams '],['254 calorie ']
Black Bean Salad,16 minutes,5 of 5 stars,155 Reviews,['266 '],['17 g'],['2 g'],['25 g'],['9 g'],['3 g'],['6 g'],['0 mg'],['470 mg']
Tomato Feta Pasta Salad,45 minutes,5 of 5 stars,340 Reviews,['480 '],['32 g'],['13 g'],['29 g'],['2 g'],['2 g'],['19 g'],['63 mg'],['987 mg']
Chinese Chicken Salad,34 minutes,5 of 5 stars,136 Reviews,['14 grams '],['1.5 grams '],['66 milligrams '],['930 milligrams '],['41 grams '],['9 grams '],['32 grams '],['25 grams '],['415 calorie ']
Tomato Feta Salad,20 minutes,5 of 5 stars,144 Reviews,['238 '],['19 g'],['9 g'],['8 g'],['2 g'],['4 g'],['9 g'],['50 mg'],['653 mg']
Tracie's Couscous Salad,15 minutes,5 of 5 stars,135 Reviews,['384 '],['14 g'],['3 g'],['54 g'],['9 g'],['7 g'],['13 g'],['11 mg'],['646 mg']
Meatball Salad,1 hour,5 of 5 stars,61 Reviews,['570 '],['39 g'],['16 g'],['17 g'],['3 g'],['9 g'],['38 g'],['130 mg'],['1514 mg']
Caesar Salad,20 minutes,4.5 of 5 stars,98 Reviews,['530 '],['45 g'],['7 g'],['25 g'],['3 g'],['3 g'],['10 g'],['10 mg'],['607 mg']
Perfect Potato Salad,45 minutes,5 of 5 stars,141 Reviews,['814 '],['50 g'],['8 g'],['82 g'],['6 g'],['12 g'],['14 g'],['172 mg'],['838 mg']
Potato Salad,4 hours 15 minutes,5 of 5 stars,55 Reviews,['725 '],['59 g'],['9 g'],['41 g'],['6 g'],['2 g'],['9 g'],['145 mg'],['745 mg']
Potato Salad,38 minutes,5 of 5 stars,53 Reviews,['678 '],['54 g'],['14 g'],['33 g'],['4 g'],['8 g'],['15 g'],['111 mg'],['800 mg']
Mustard Chicken Salad,1 hour 1 minute,5 of 5 stars,120 Reviews,['680 '],['61 g'],['9 g'],['5 g'],['2 g'],['2 g'],['27 g'],['106 mg'],['699 mg']
Chicken Taco Salad,16 minutes,5 of 5 stars,104 Reviews,['556 '],['43 g'],['9 g'],['18 g'],['6 g'],['6 g'],['27 g'],['95 mg'],['679 mg']
Baked Caprese Salad,30 minutes,5 of 5 stars,130 Reviews,['307 '],['19 g'],['8 g'],['18 g'],['1 g'],['3 g'],['16 g'],['45 mg'],['538 mg']
Buffalo Chicken Salad,18 minutes,5 of 5 stars,127 Reviews,['570 '],['44 g'],['12 g'],['26 g'],['5 g'],['5 g'],['21 g'],['76 mg'],['1332 mg']
Crunchy Avocado Salad,15 minutes,5 of 5 stars,100 Reviews,['31 grams '],['4 grams '],['0 milligrams '],['684 milligrams '],['30 grams '],['4 grams '],['7 grams '],['3 grams '],['415 calorie ']
Quinoa Salad,40 minutes,5 of 5 stars,53 Reviews,['20 grams '],['3 grams '],['0 milligrams '],['467 milligrams '],['32 grams '],['6 grams '],['7 grams '],['4 grams '],['319 ']
Macaroni Salad,2 hours 45 minutes,5 of 5 stars,54 Reviews,['697 '],['51 g'],['8 g'],['50 g'],['3 g'],['7 g'],['8 g'],['26 mg'],['439 mg']
German Potato Salad,35 minutes,4.5 of 5 stars,201 Reviews,['336 '],['18 g'],['4 g'],['35 g'],['5 g'],['4 g'],['8 g'],['19 mg'],['653 mg']
Chicken Salad Contessa,Unknown,4.5 of 5 stars,188 Reviews,['1420 '],['110 g'],['19 g'],['26 g'],['6 g'],['15 g'],['86 g'],['305 mg'],['1393 mg']
Green Bean Salad,16 minutes,5 of 5 stars,115 Reviews,['4 grams '],['0.5 grams '],['0 milligrams '],['155 milligrams '],['5 grams '],['2 grams '],['2 grams '],['1 grams '],['66 calorie ']
Italian Antipasto Salad,10 minutes,5 of 5 stars,72 Reviews,['316 '],['24 g'],['6 g'],['14 g'],['4 g'],['2 g'],['11 g'],['26 mg'],['422 mg']
Pasta Salad,50 minutes,5 of 5 stars,46 Reviews,['17 grams '],['2 grams '],['0 milligrams '],['307 milligrams '],['48 grams '],['2.5 grams '],['9 grams '],['6 grams '],['382 calorie ']
Ham Salad,10 minutes,5 of 5 stars,45 Reviews,['221 '],['16 g'],['2 g'],['8 g'],['1 g'],['6 g'],['10 g'],['38 mg'],['712 mg']
Summer Pasta Salad,45 minutes,5 of 5 stars,103 Reviews,['540 '],['29 g'],['4 g'],['63 g'],['5 g'],['9 g'],['11 g'],['0 mg'],['755 mg']
Grape Salad,30 minutes,5 of 5 stars,52 Reviews,['302 '],['13 g'],['6 g'],['47 g'],['2 g'],['42 g'],['3 g'],['31 mg'],['84 mg']
Spinach Artichoke Pasta Salad,13 minutes,5 of 5 stars,170 Reviews,['253 '],['23 g'],['2 g'],['14 g'],['6 g'],['4 g'],['5 g'],['0 mg'],['554 mg']
Canned Salad,10 minutes,5 of 5 stars,50 Reviews,['285 '],['15 g'],['4 g'],['29 g'],['10 g'],['3 g'],['13 g'],['17 mg'],['636 mg']
Black Bean and Corn Salad,25 minutes,5 of 5 stars,333 Reviews,['8 grams '],['1 grams '],['0 milligrams '],['477 milligrams '],['37 grams '],['10 grams '],['9 grams '],['4 grams '],['257 calorie ']
Greek Salad,15 minutes,5 of 5 stars,49 Reviews,['378 '],['11 g'],['5 g'],['57 g'],['7 g'],['10 g'],['14 g'],['22 mg'],['1279 mg']
Greek Quinoa Salad,1 hour 25 minutes,5 of 5 stars,74 Reviews,['363 '],['20 g'],['3 g'],['41 g'],['7 g'],['5 g'],['8 g'],['0 mg'],['648 mg']
Warm Vegetable Salad,40 minutes,5 of 5 stars,76 Reviews,['292 '],['19 g'],['3 g'],['30 g'],['6 g'],['5 g'],['4 g'],['0 mg'],['406 mg']
German Potato Salad,45 minutes,5 of 5 stars,78 Reviews,['488 '],['29 g'],['9 g'],['45 g'],['6 g'],['4 g'],['13 g'],['39 mg'],['858 mg']
Creamy Dijon-Dill Potato Salad,40 minutes,5 of 5 stars,190 Reviews,['226 '],['15 g'],['2 g'],['21 g'],['3 g'],['1 g'],['3 g'],['8 mg'],['350 mg']
Holiday Salad,15 minutes,4.5 of 5 stars,81 Reviews,['418 '],['34 g'],['9 g'],['22 g'],['7 g'],['7 g'],['11 g'],['31 mg'],['609 mg']
Mediterranean Farro Salad,45 minutes,5 of 5 stars,85 Reviews,['15 grams '],['4 grams '],['12 milligrams '],['692 milligrams '],['39 grams '],['8 grams '],['13 grams '],['2 grams '],['352 ']
Salmon Salad,30 minutes,5 of 5 stars,47 Reviews,['548 '],['37 g'],['8 g'],['3 g'],['1 g'],['1 g'],['47 g'],['125 mg'],['496 mg']
Unknown,Unknown,Unknown,no review info,,,,,,,,,
Vinaigrette For Green Salad,15 minutes,5 of 5 stars,137 Reviews,,,,,,,,,
Tuna Bread Salad,15 minutes,5 of 5 stars,89 Reviews,['428 '],['13 g'],['2 g'],['56 g'],['10 g'],['6 g'],['24 g'],['14 mg'],['494 mg']
Orzo Salad,35 minutes,5 of 5 stars,41 Reviews,['563 '],['23 g'],['6 g'],['69 g'],['10 g'],['12 g'],['22 g'],['24 mg'],['1210 mg']
Gina's Orzo Salad,20 minutes,5 of 5 stars,84 Reviews,['474 '],['25 g'],['5 g'],['51 g'],['5 g'],['5 g'],['14 g'],['16 mg'],['407 mg']
Wheatberry Salad,1 hour 30 minutes,4.5 of 5 stars,69 Reviews,['233 '],['14 g'],['2 g'],['25 g'],['4 g'],['3 g'],['3 g'],['0 mg'],['208 mg']
Wheat Berry Salad,1 hour 38 minutes,5 of 5 stars,82 Reviews,['17 grams '],['2 grams '],['15 milligrams '],['46 grams '],['8 grams '],['9 grams '],['360 '],['17 grams '],['2 grams ']
Roman Summer Salad,50 minutes,5 of 5 stars,75 Reviews,['301 '],['24 g'],['3 g'],['17 g'],['3 g'],['12 g'],['3 g'],['3 mg'],['480 mg']
Classic Potato Salad,37 minutes,5 of 5 stars,112 Reviews,['375 '],['32 g'],['5 g'],['17 g'],['2 g'],['3 g'],['5 g'],['108 mg'],['450 mg']
Spinach Salad with Warm Bacon Dressing,20 minutes,5 of 5 stars,296 Reviews,['312 '],['26 g'],['9 g'],['7 g'],['2 g'],['3 g'],['13 g'],['131 mg'],['474 mg']
Fresh Broccoli Salad,1 hour 50 minutes,5 of 5 stars,74 Reviews,['29 grams '],['3 grams '],['0 milligrams '],['573 milligrams '],['12 grams '],['6 grams '],['6 grams '],['2 grams '],['310 calorie ']
Neely's Lemon Pasta Salad,30 minutes,5 of 5 stars,126 Reviews,['499 '],['18 g'],['6 g'],['68 g'],['6 g'],['8 g'],['18 g'],['29 mg'],['677 mg']
Roasted Tomato Caprese Salad,2 hours 38 minutes,5 of 5 stars,153 Reviews,['341 '],['26 g'],['12 g'],['10 g'],['2 g'],['5 g'],['18 g'],['60 mg'],['505 mg']
Chinese Chicken Salad,1 hour,4.5 of 5 stars,119 Reviews,['278 '],['19 g'],['2 g'],['4 g'],['1 g'],['2 g'],['23 g'],['66 mg'],['354 mg']
Black-Eyed Pea Salad,8 hours 10 minutes,5 of 5 stars,129 Reviews,['208 '],['10 g'],['1 g'],['23 g'],['6 g'],['2 g'],['7 g'],['0 mg'],['499 mg']
Shepherd's Salad,1 hour 15 minutes,5 of 5 stars,36 Reviews,['223 '],['19 g'],['7 g'],['9 g'],['2 g'],['5 g'],['7 g'],['34 mg'],['502 mg']
Curried Chicken Salad,55 minutes,5 of 5 stars,75 Reviews,['14 grams '],['2 grams '],['85 milligrams '],['322 milligrams '],['13 grams '],['2 grams '],['37 grams '],['8 grams '],['325 calorie ']
Caesar Salad,20 minutes,4 of 5 stars,79 Reviews,['396 '],['29 g'],['7 g'],['29 g'],['2 g'],['3 g'],['6 g'],['18 mg'],['372 mg']
Tricolore Salad,15 minutes,5 of 5 stars,37 Reviews,['165 '],['16 g'],['3 g'],['2 g'],['1 g'],['1 g'],['4 g'],['7 mg'],['152 mg']
The Best Tuna Salad,15 minutes,4.5 of 5 stars,235 Reviews,['212 '],['16 g'],['2 g'],['1 g'],['0 g'],['0 g'],['17 g'],['38 mg'],['368 mg']
Cobb Salad,13 minutes,4.5 of 5 stars,55 Reviews,['24 grams '],['7 grams '],['115 milligrams '],['770 milligrams '],['11 grams '],['4 grams '],['28 grams '],['360 '],['24 grams ']
Poblano Potato Salad,40 minutes,5 of 5 stars,99 Reviews,['277 '],['12 g'],['4 g'],['40 g'],['5 g'],['6 g'],['6 g'],['14 mg'],['614 mg']
Garden Pasta Salad,1 hour 20 minutes,5 of 5 stars,55 Reviews,['417 '],['25 g'],['5 g'],['39 g'],['3 g'],['4 g'],['9 g'],['5 mg'],['119 mg']
Chicken Salad Sandwiches,1 hour 20 minutes,4.5 of 5 stars,122 Reviews,['701 '],['40 g'],['6 g'],['26 g'],['5 g'],['4 g'],['57 g'],['172 mg'],['884 mg']
Bagel Salad,35 minutes,5 of 5 stars,34 Reviews,['818 '],['49 g'],['15 g'],['74 g'],['5 g'],['17 g'],['23 g'],['232 mg'],['1066 mg']
German Potato Salad,40 minutes,4.5 of 5 stars,91 Reviews,['478 '],['23 g'],['8 g'],['56 g'],['6 g'],['16 g'],['12 g'],['37 mg'],['817 mg']
Crab Salad,15 minutes,4.5 of 5 stars,59 Reviews,['168 '],['12 g'],['2 g'],['1 g'],['0 g'],['0 g'],['14 g'],['81 mg'],['513 mg']
Caesar Salad,15 minutes,4 of 5 stars,89 Reviews,['249 '],['22 g'],['4 g'],['10 g'],['5 g'],['3 g'],['7 g'],['55 mg'],['232 mg']
Big Steak Salad,35 minutes,5 of 5 stars,61 Reviews,,,,,,,,,
Caesar Salad,15 minutes,4.5 of 5 stars,47 Reviews,['841 '],['72 g'],['15 g'],['33 g'],['9 g'],['6 g'],['22 g'],['72 mg'],['1398 mg']
Christmas Salad,30 minutes,5 of 5 stars,25 Reviews,['270 '],['24 g'],['3 g'],['15 g'],['4 g'],['10 g'],['3 g'],['3 mg'],['300 mg']
Cape Cod Chopped Salad,Unknown,5 of 5 stars,121 Reviews,['749 '],['65 g'],['17 g'],['29 g'],['4 g'],['22 g'],['17 g'],['61 mg'],['1000 mg']
Cornbread Panzanella Salad,15 minutes,5 of 5 stars,63 Reviews,['632 '],['40 g'],['9 g'],['56 g'],['1 g'],['2 g'],['14 g'],['74 mg'],['968 mg']
Corn Salad,1 hour 20 minutes,5 of 5 stars,33 Reviews,['240 '],['20 g'],['2 g'],['15 g'],['3 g'],['6 g'],['3 g'],['3 mg'],['433 mg']
Orzo Salad,3 hours,5 of 5 stars,31 Reviews,['298 '],['16 g'],['3 g'],['32 g'],['4 g'],['3 g'],['9 g'],['9 mg'],['288 mg']
Dunkley's Famous Macaroni Salad,3 hours 40 minutes,5 of 5 stars,90 Reviews,['264 '],['18 g'],['5 g'],['18 g'],['1 g'],['1 g'],['9 g'],['28 mg'],['427 mg']
Caesar Salad,30 minutes,4.5 of 5 stars,43 Reviews,['703 '],['71 g'],['10 g'],['6 g'],['1 g'],['1 g'],['13 g'],['51 mg'],['902 mg']
Italian Chopped Salad,30 minutes,5 of 5 stars,51 Reviews,['560 '],['42 g'],['13 g'],['31 g'],['3 g'],['8 g'],['16 g'],['50 mg'],['616 mg']
Mediterranean Pasta Salad,31 minutes,5 of 5 stars,55 Reviews,['561 '],['29 g'],['5 g'],['62 g'],['3 g'],['5 g'],['12 g'],['8 mg'],['330 mg']
Greek Salad,20 minutes,5 of 5 stars,29 Reviews,['747 '],['71 g'],['17 g'],['21 g'],['7 g'],['9 g'],['12 g'],['50 mg'],['1162 mg']
Roasted Greek Salad,1 hour,5 of 5 stars,57 Reviews,['363 '],['29 g'],['11 g'],['18 g'],['4 g'],['6 g'],['12 g'],['59 mg'],['927 mg']
Campanelle Pasta Salad,26 minutes,4.5 of 5 stars,108 Reviews,['537 '],['22 g'],['3 g'],['66 g'],['6 g'],['5 g'],['20 g'],['5 mg'],['568 mg']
Roasted Edamame Salad,35 minutes,5 of 5 stars,61 Reviews,['165 '],['8 g'],['1 g'],['16 g'],['6 g'],['4 g'],['10 g'],['0 mg'],['362 mg']
Grilled Eggplant Salad,25 minutes,5 of 5 stars,51 Reviews,['26.5 grams '],['3.5 grams '],['0 milligrams '],['158 milligrams '],['19 grams '],['8 grams '],['3 grams '],['9 grams '],['313 calorie ']
Fried Couscous Salad,58 minutes,5 of 5 stars,49 Reviews,['701 '],['40 g'],['11 g'],['63 g'],['5 g'],['3 g'],['23 g'],['35 mg'],['805 mg']
"Arugula, Watermelon and Feta Salad",Unknown,5 of 5 stars,148 Reviews,['685 '],['47 g'],['15 g'],['58 g'],['5 g'],['42 g'],['17 g'],['76 mg'],['1460 mg']
Corny Salad,20 minutes,5 of 5 stars,31 Reviews,['140 '],['8 g'],['1 g'],['18 g'],['3 g'],['6 g'],['3 g'],['0 mg'],['298 mg']
Tarragon Potato Salad,1 hour 25 minutes,5 of 5 stars,48 Reviews,['466 '],['30 g'],['5 g'],['45 g'],['6 g'],['2 g'],['5 g'],['15 mg'],['713 mg']
Anytime Vegetable Salad,35 minutes,5 of 5 stars,45 Reviews,['207 '],['13 g'],['1 g'],['16 g'],['7 g'],['5 g'],['9 g'],['0 mg'],['597 mg']
Caesar Salad,19 minutes,5 of 5 stars,27 Reviews,['405 '],['39 g'],['7 g'],['9 g'],['3 g'],['2 g'],['8 g'],['48 mg'],['461 mg']
Layered Salad,1 hour,4 of 5 stars,91 Reviews,['452 '],['37 g'],['13 g'],['12 g'],['4 g'],['6 g'],['20 g'],['259 mg'],['730 mg']
Caesar Salad,20 minutes,4.5 of 5 stars,45 Reviews,['775 '],['77 g'],['7 g'],['20 g'],['5 g'],['3 g'],['6 g'],['38 mg'],['719 mg']
Sunshine Pasta Salad,30 minutes,5 of 5 stars,53 Reviews,['569 '],['31 g'],['7 g'],['65 g'],['8 g'],['11 g'],['13 g'],['26 mg'],['1027 mg']
Middle Eastern Vegetable Salad,15 minutes,5 of 5 stars,60 Reviews,['430 '],['29 g'],['8 g'],['34 g'],['8 g'],['7 g'],['13 g'],['34 mg'],['769 mg']
Lentil and Rice Salad,50 minutes,4.5 of 5 stars,106 Reviews,['430 '],['13 g'],['2 g'],['62 g'],['6 g'],['5 g'],['17 g'],['5 mg'],['704 mg']
Asian Chicken Salad,28 minutes,4.5 of 5 stars,87 Reviews,['25 grams '],['3.5 grams '],['36 milligrams '],['349 milligrams '],['19 grams '],['8 grams '],['21 grams '],['9 grams '],['374 ']
Quick Italian Salad,20 minutes,5 of 5 stars,48 Reviews,['256 '],['23 g'],['5 g'],['8 g'],['3 g'],['4 g'],['6 g'],['10 mg'],['433 mg']
Perfect Spinach Salad,1 hour,4.5 of 5 stars,82 Reviews,['22.5 grams '],['7.5 grams '],['123 milligrams '],['526 milligrams '],['7 grams '],['2 grams '],['10 grams '],['2 grams '],['270 calorie ']
Mega Egga Macaroni Salad,35 minutes,5 of 5 stars,107 Reviews,['1529 '],['104 g'],['18 g'],['115 g'],['6 g'],['8 g'],['32 g'],['470 mg'],['932 mg']
Basic Chicken Salad,3 hours 15 minutes,5 of 5 stars,51 Reviews,['729 '],['57 g'],['14 g'],['16 g'],['3 g'],['11 g'],['38 g'],['159 mg'],['968 mg']
Pesto Pea Salad,22 minutes,5 of 5 stars,55 Reviews,['81 '],['3 g'],['0 g'],['10 g'],['3 g'],['4 g'],['4 g'],['0 mg'],['77 mg']
Waldorf Salad,25 minutes,4.5 of 5 stars,49 Reviews,['11 grams '],['1 grams '],['3 milligrams '],['98 milligrams '],['31 grams '],['5 grams '],['5 grams '],['22 grams '],['221 calorie ']
Spinach Salad with Orange Vinaigrette,30 minutes,5 of 5 stars,112 Reviews,['343 '],['29 g'],['4 g'],['18 g'],['3 g'],['14 g'],['6 g'],['11 mg'],['447 mg']
Fresh Corn and Tomato Salad,30 minutes,5 of 5 stars,191 Reviews,['18 grams '],['5 grams '],['19 milligrams '],['457 milligrams '],['37 grams '],['3 grams '],['13 grams '],['10 grams '],['346 calorie ']
Mexican Macaroni Salad,1 hour,4.5 of 5 stars,88 Reviews,['305 '],['12 g'],['3 g'],['43 g'],['5 g'],['5 g'],['9 g'],['12 mg'],['433 mg']
Mediterranean Orzo Salad,1 hour 35 minutes,4.5 of 5 stars,80 Reviews,['302 '],['13 g'],['4 g'],['37 g'],['5 g'],['7 g'],['10 g'],['17 mg'],['387 mg']
Chilled Asparagus Salad,1 hour 15 minutes,5 of 5 stars,46 Reviews,,,,,,,,,
Herb Potato Salad,45 minutes,4.5 of 5 stars,87 Reviews,['403 '],['24 g'],['3 g'],['42 g'],['5 g'],['2 g'],['5 g'],['0 mg'],['644 mg']
Chickpea Salad,20 minutes,4.5 of 5 stars,41 Reviews,['734 '],['49 g'],['6 g'],['59 g'],['18 g'],['10 g'],['21 g'],['0 mg'],['808 mg']
Mesa Grill's Southwestern Potato Salad,35 minutes,5 of 5 stars,165 Reviews,['436 '],['34 g'],['5 g'],['30 g'],['5 g'],['3 g'],['4 g'],['17 mg'],['690 mg']
Creamy Cucumber Salad,1 hour 10 minutes,4.5 of 5 stars,73 Reviews,['122 '],['6 g'],['3 g'],['17 g'],['2 g'],['9 g'],['3 g'],['17 mg'],['892 mg']
Fruit Salad with Limoncello,20 minutes,5 of 5 stars,88 Reviews,['4 grams '],['3 grams '],['6 milligrams '],['11 milligrams '],['50 grams '],['3 grams '],['33 grams '],['3 grams '],['256 ']
The Ugly Duckling Salad,30 minutes,5 of 5 stars,78 Reviews,['401 '],['35 g'],['3 g'],['21 g'],['6 g'],['8 g'],['6 g'],['0 mg'],['580 mg']
Tangy Tater Salad,50 minutes,5 of 5 stars,51 Reviews,['286 '],['9 g'],['3 g'],['45 g'],['4 g'],['10 g'],['7 g'],['14 mg'],['650 mg']
Mexican Salad,35 minutes,5 of 5 stars,24 Reviews,['877 '],['80 g'],['19 g'],['31 g'],['3 g'],['9 g'],['11 g'],['74 mg'],['748 mg']
Cold-Fashioned Potato Salad,59 minutes,4.5 of 5 stars,162 Reviews,['346 '],['23 g'],['3 g'],['33 g'],['4 g'],['3 g'],['4 g'],['11 mg'],['525 mg']
Greek Salad Chicken,1 hour 10 minutes,5 of 5 stars,45 Reviews,['791 '],['67 g'],['15 g'],['12 g'],['4 g'],['3 g'],['37 g'],['206 mg'],['1163 mg']
Barefoot Carrot Salad,Unknown,4.5 of 5 stars,87 Reviews,['341 '],['19 g'],['4 g'],['44 g'],['5 g'],['33 g'],['3 g'],['19 mg'],['574 mg']
Easy Greek Salad,20 minutes,5 of 5 stars,51 Reviews,['231 '],['18 g'],['6 g'],['14 g'],['5 g'],['7 g'],['7 g'],['25 mg'],['752 mg']
Chicago Dog Salad,15 minutes,4.5 of 5 stars,89 Reviews,['497 '],['42 g'],['9 g'],['19 g'],['4 g'],['4 g'],['14 g'],['80 mg'],['1318 mg']
Cheeseburger Salad,25 minutes,5 of 5 stars,22 Reviews,['670 '],['49 g'],['22 g'],['26 g'],['3 g'],['10 g'],['32 g'],['153 mg'],['872 mg']
Caramelized Pancetta and Fennel Salad,30 minutes,5 of 5 stars,108 Reviews,['349 '],['31 g'],['7 g'],['12 g'],['2 g'],['8 g'],['6 g'],['24 mg'],['385 mg']
Eggless Caesar Salad Dressing,5 minutes,5 of 5 stars,74 Reviews,['121 '],['13 g'],['2 g'],['1 g'],['0 g'],['0 g'],['1 g'],['3 mg'],['79 mg']
BLT Pasta Salad,42 minutes,4 of 5 stars,169 Reviews,['56 grams '],['20 grams '],['125 milligrams '],['2114 milligrams '],['73 grams '],['5 grams '],['44 grams '],['960 '],['56 grams ']
Old-Fashioned Macaroni Salad,2 hours 35 minutes,5 of 5 stars,94 Reviews,['568 '],['26 g'],['5 g'],['64 g'],['4 g'],['6 g'],['20 g'],['130 mg'],['836 mg']
Watermelon Salad,20 minutes,5 of 5 stars,25 Reviews,['191 '],['15 g'],['5 g'],['12 g'],['1 g'],['9 g'],['5 g'],['22 mg'],['233 mg']
Grilled Caesar Salad,20 minutes,5 of 5 stars,46 Reviews,['546 '],['52 g'],['8 g'],['17 g'],['4 g'],['7 g'],['6 g'],['11 mg'],['570 mg']
Corn Salad,25 minutes,5 of 5 stars,25 Reviews,['200 '],['11 g'],['2 g'],['27 g'],['4 g'],['9 g'],['4 g'],['0 mg'],['485 mg']
Balsamic Roasted Beet Salad,1 hour 20 minutes,5 of 5 stars,74 Reviews,['328 '],['26 g'],['6 g'],['17 g'],['5 g'],['11 g'],['8 g'],['9 mg'],['457 mg']
Eggless Caesar Salad,30 minutes,5 of 5 stars,38 Reviews,['175 '],['10 g'],['5 g'],['12 g'],['3 g'],['2 g'],['12 g'],['19 mg'],['560 mg']
Cold Cucumber Salad,2 hours 40 minutes,5 of 5 stars,48 Reviews,['323 '],['10 g'],['1 g'],['59 g'],['1 g'],['54 g'],['1 g'],['0 mg'],['396 mg']
Cucumber Salad,Unknown,4.5 of 5 stars,38 Reviews,,,,,,,,,
